ticker,cik,name,sector,subsector
A,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services
AAPL,0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,0001551152,AbbVie,Health Care,Biotechnology
ABNB,0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ABT,0000001800,Abbott Laboratories,Health Care,Health Care Equipment
ACGL,0000947484,Arch Capital Group,Financials,Property & Casualty Insurance
ACN,0001467373,Accenture,Information Technology,IT Consulting & Other Services
ADBE,0000796343,Adobe Inc.,Information Technology,Application Software
ADI,0000006281,Analog Devices,Information Technology,Semiconductors
ADM,0000007084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADP,0000008670,Automatic Data Processing,Industrials,Human Resource & Employment Services
ADSK,0000769397,Autodesk,Information Technology,Application Software
AEE,0001002910,Ameren,Utilities,Multi-Utilities
AEP,0000004904,American Electric Power,Utilities,Electric Utilities
AES,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,0000004977,Aflac,Financials,Life & Health Insurance
AIG,0000005272,American International Group,Financials,Multi-line Insurance
AIZ,0001267238,Assurant,Financials,Multi-line Insurance
AJG,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,0000915913,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,0001097149,Align Technology,Health Care,Health Care Supplies
ALL,0000899051,Allstate,Financials,Property & Casualty Insurance
ALLE,0001579241,Allegion,Industrials,Building Products
AMAT,0000006951,Applied Materials,Information Technology,Semiconductor Materials & Equipment
AMCR,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AMD,0000002488,Advanced Micro Devices,Information Technology,Semiconductors
AME,0001037868,Ametek,Industrials,Electrical Components & Equipment
AMGN,0000318154,Amgen,Health Care,Biotechnology
AMP,0000820027,Ameriprise Financial,Financials,Asset Management & Custody Banks
AMT,0001053507,American Tower,Real Estate,Telecom Tower REITs
AMZN,0001018724,Amazon,Consumer Discretionary,Broadline Retail
ANET,0001596532,Arista Networks,Information Technology,Communications Equipment
AON,0000315293,Aon plc,Financials,Insurance Brokers
AOS,0000091142,A. O. Smith,Industrials,Building Products
APA,0001841666,APA Corporation,Energy,Oil & Gas Exploration & Production
APD,0000002969,Air Products,Materials,Industrial Gases
APH,0000820313,Amphenol,Information Technology,Electronic Components
APO,0001858681,Apollo Global Management,Financials,Asset Management & Custody Banks
APP,0001751008,AppLovin,Communication Services,Advertising
APTV,0001521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ARE,0001035443,Alexandria Real Estate Equities,Real Estate,Office REITs
ARES,0001176948,Ares Management,Financials,Asset Management & Custody Banks
ATO,0000731802,Atmos Energy,Utilities,Gas Utilities
AVB,0000915912,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
AVGO,0001730168,Broadcom,Information Technology,Semiconductors
AVY,0000008818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AWK,0001410636,American Water Works,Utilities,Water Utilities
AXON,0001069183,Axon Enterprise,Industrials,Aerospace & Defense
AXP,0000004962,American Express,Financials,Consumer Finance
AZO,0000866787,AutoZone,Consumer Discretionary,Automotive Retail
BA,0000012927,Boeing,Industrials,Aerospace & Defense
BAC,0000070858,Bank of America,Financials,Diversified Banks
BALL,0000009389,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,0000010456,Baxter International,Health Care,Health Care Equipment
BBY,0000764478,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BDX,0000010795,Becton Dickinson,Health Care,Health Care Equipment
BEN,0000038777,Franklin Resources,Financials,Asset Management & Custody Banks
BF-B,0000014693,Brown–Forman,Consumer Staples,Distillers & Vintners
BG,0001996862,Bunge Global,Consumer Staples,Agricultural Products & Services
BIIB,0000875045,Biogen,Health Care,Biotechnology
BKNG,0001075531,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BKR,0001701605,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLDR,0001316835,Builders FirstSource,Industrials,Building Products
BLK,0002012383,BlackRock,Financials,Asset Management & Custody Banks
BMY,0000014272,Bristol Myers Squibb,Health Care,Pharmaceuticals
BNY,0001390777,BNY Mellon,Financials,Asset Management & Custody Banks
BR,0001383312,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRK-B,0001067983,Berkshire Hathaway,Financials,Multi-Sector Holdings
BRO,0000079282,Brown & Brown,Financials,Insurance Brokers
BSX,0000885725,Boston Scientific,Health Care,Health Care Equipment
BX,0001393818,Blackstone Inc.,Financials,Asset Management & Custody Banks
BXP,0001037540,"BXP, Inc.",Real Estate,Office REITs
C,0000831001,Citigroup,Financials,Diversified Banks
CAH,0000721371,Cardinal Health,Health Care,Health Care Distributors
CARR,0001783180,Carrier Global,Industrials,Building Products
CASY,0000726958,Casey's,Consumer Staples,Food Retail
CAT,0000018230,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CB,0000896159,Chubb Limited,Financials,Property & Casualty Insurance
CBOE,0001374310,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,0001138118,CBRE Group,Real Estate,Real Estate Services
CCI,0001051470,Crown Castle,Real Estate,Telecom Tower REITs
CCL,0000815097,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDNS,0000813672,Cadence Design Systems,Information Technology,Application Software
CDW,0001402057,CDW Corporation,Information Technology,Technology Distributors
CEG,0001868275,Constellation Energy,Utilities,Electric Utilities
CF,0001324404,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CFG,0000759944,Citizens Financial Group,Financials,Regional Banks
CHD,0000313927,Church & Dwight,Consumer Staples,Household Products
CHRW,0001043277,C.H. Robinson,Industrials,Air Freight & Logistics
CHTR,0001091667,Charter Communications,Communication Services,Cable & Satellite
CI,0001739940,Cigna,Health Care,Health Care Services
CIEN,0000936395,Ciena,Information Technology,Communications Equipment
CINF,0000020286,Cincinnati Financial,Financials,Property & Casualty Insurance
CL,0000021665,Colgate-Palmolive,Consumer Staples,Household Products
CLX,0000021076,Clorox,Consumer Staples,Household Products
CMCSA,0001166691,Comcast,Communication Services,Cable & Satellite
CME,0001156375,CME Group,Financials,Financial Exchanges & Data
CMG,0001058090,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CMI,0000026172,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment
CMS,0000811156,CMS Energy,Utilities,Multi-Utilities
CNC,0001071739,Centene Corporation,Health Care,Managed Health Care
CNP,0001130310,CenterPoint Energy,Utilities,Multi-Utilities
COF,0000927628,Capital One,Financials,Consumer Finance
COHR,0000820318,Coherent Corp.,Information Technology,Electronic Components
COIN,0001679788,Coinbase,Financials,Financial Exchanges & Data
COO,0000711404,Cooper Companies (The),Health Care,Health Care Supplies
COP,0001163165,ConocoPhillips,Energy,Oil & Gas Exploration & Production
COR,0001140859,Cencora,Health Care,Health Care Distributors
COST,0000909832,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CPAY,0001175454,Corpay,Financials,Transaction & Payment Processing Services
CPRT,0000900075,Copart,Industrials,Diversified Support Services
CPT,0000906345,Camden Property Trust,Real Estate,Multi-Family Residential REITs
CRH,0000849395,CRH plc,Materials,Construction Materials
CRL,0001100682,Charles River Laboratories,Health Care,Life Sciences Tools & Services
CRM,0001108524,Salesforce,Information Technology,Application Software
CRWD,0001535527,CrowdStrike,Information Technology,Systems Software
CSCO,0000858877,Cisco,Information Technology,Communications Equipment
CSGP,0001057352,CoStar Group,Real Estate,Real Estate Services
CSX,0000277948,CSX Corporation,Industrials,Rail Transportation
CTAS,0000723254,Cintas,Industrials,Diversified Support Services
CTSH,0001058290,Cognizant,Information Technology,IT Consulting & Other Services
CTVA,0001755672,Corteva,Materials,Fertilizers & Agricultural Chemicals
CVNA,0001690820,Carvana,Consumer Discretionary,Automotive Retail
CVS,0000064803,CVS Health,Health Care,Health Care Services
CVX,0000093410,Chevron Corporation,Energy,Integrated Oil & Gas
D,0000715957,Dominion Energy,Utilities,Multi-Utilities
DAL,0000027904,Delta Air Lines,Industrials,Passenger Airlines
DASH,0001792789,DoorDash,Consumer Discretionary,Specialized Consumer Services
DD,0001666700,DuPont,Industrials,Industrial Conglomerates
